Coin,Price,24H Volume,Market Cap,Circulating Supply
CONS,0.005385495,0,0,0
OCTOC
MASTERCOIN,0.00016165884,0,0,0
EGGC,0.0094919616,0,0,0
C2,7.901e-05,0,0,0
GLOWSHA,0.1497121045,0,0,0
CAMC
RBR,0.0241268944,0,0,0
XQN,0.0002272,0,0,0
ICASH,0.00036616,0.006118755119476799,0,0
SOON,0.0260652392,0,0,0
BTMI,0.0002154033,0,0,0
EVENT,0.005170142399999999,0,0,0
1CR,0.9114225,0,0,0
VIOR,0.0577324528,0,0,0
XCO,0.0006926982,0,0,0
VMC,0.0008615776,0,0,0
MARSC
VIRAL,0.0105552419,0,0,0
EQM,0.01100002,0,0,0
ISL,0.0092116708,0,0,0
QSLV,0.0254193004,0,0,0
XWT,0.0058160727,0,0,0
XNA,0.0002153936,0,0,0
RDN,0.078526224,0,7852622.399999997,0
SKB,0.01514925,0,0,0
BSTY,0.0187002,3.3603365892920234e-05,0,0
FCS,0.0019386153,0,0,0
GAM,1.3369325577,0,0,0
NXS,0.1449685745,24635.88003195725,10697006.789520789,0
CESC,0.001002,0,0,0
TWLV,0.0133534546,0,0,0
EAGS,0.021109837,0,0,0
MLTC,0.003661828899999999,0,0,0
ADC,0.0001,0,0,0
MARS,0.06284826839999999,0,0,0
XMS,0.3402616,0,0,0
SPHR,0.0146461052,103.6307910584547,0,0
SIGU,0.030157246,0,0,0
M1,0.16887346,0,0,0
DB,0.04437034,6.05989648860149,0,0
CTO,0.0144366039,0,0,0
EDGE,0.05317193257533412,0,3190315.954520047,0
BITL
FUTC,0.001333,0,0,0
GLOBE,0.0002154647,0,0,0
MRP,0.0196068873,0,0,0
CREVA,2.255e-05,405.1706702462534,0,0
FOREVER
NANAS,0.06786864,0,0,0
LOG,0.38127747,0,0,0
XCE,0.0088973868,10.085597002276042,0,0
ACP,0.0032308215,0,0,0
DRZ,0.01000005,0,0,0
BSC,0.0010769655,9.57880642936026,0,0
DRKT,0.028218841,0,0,0
CIRC,0.04286010260000001,0,0,0
NKA,2.883e-05,0,0,0
VERSA,0.0002154237,0,0,0
EPY,115.22145233,0,0,0
SQL,0.1262606337,0,0,0
PIGGYCOIN,0.000209874,0,0,0
CHA,0.9192337308,0,0,0
MIL,0.2862365646,0,0,0
CRW,0.0170139851,214.985615616434,0,0
GENSTAKE,0.02066044,0,0,0
XPH,0.00017230056,0,0,0
GRM,0.00012332596,0,0,0
QTZ,0.0111996612,0,0,0
ARB,0.00080005,0,0,0
LTS,0.01002683,0.22090102705694492,0,0
SPINC,0.23223139,0,0,0
GOLDPIECES,0.004991,0,0,0
BITZ,0.054266184,0,0,0
DUB,0.011628468,0,0,0
GRAV,0.32141964,0,0,0
BOBS,0.001069332,0,0,0
MNV
QCN,0.04306994,0,0,0
HEDGE,0.003,4.7184691136399834,0,0
SONG,0.00018492,0,0,0
XSEED,0.0269130375,0,0,0
AXIOM,0.0355254735,0,0,0
SMLY,3.002e-05,0,0,0
